"ID";"Тип";"Название";"Артикул";"Код";"pathName (row)";"productFolder.name";"productFolder.pathName";"productFolder.productFolder.name";"Цена продажи";"Цена закупки";"Остаток"
"9ca7cc7c-76e0-11f1-0a80-04ba00024cc9";"product";"Цепь для пилы 21-12S";"Ch 21-12S";"00209";"";;;;"0.00";"0.00";"0"
"9cac1016-76e0-11f1-0a80-04ba00024ccd";"product";"Цепь для пилы 8305N";"Ch 8305N";"00264";"";;;;"0.00";"0.00";"0"
"9cb02ce2-76e0-11f1-0a80-04ba00024cd1";"product";"Цепь для пилы 8205";"Ch8205";"00159";"";;;;"0.00";"0.00";"0"
"9cb4553a-76e0-11f1-0a80-04ba00024cd5";"product";"Кейс (без подложки, типовой для 3в1)";"-";"00168";"";;;;"0.00";"0.00";"0"
"9cb84843-76e0-11f1-0a80-04ba00024cd9";"product";"Батарея аккумуляторная 21В 2.0Ач";"FB-B2";"00218";"";;;;"0.00";"0.00";"0"
"9cbc6939-76e0-11f1-0a80-04ba00024cdd";"product";"Батарея аккумуляторная 21В 4.0Ач";"FB-B4";"00278";"";;;;"0.00";"0.00";"0"
"9cc0aa0f-76e0-11f1-0a80-04ba00024ce1";"product";"Батарея аккумуляторная 21В 6.0Ач";"FB-B6";"00196";"";;;;"3000.00";"2500.00";"0"
"9cc4ce78-76e0-11f1-0a80-04ba00024ce5";"product";"Батарея аккумуляторная 21В 8.0Ач";"FB-B8";"00274";"";;;;"0.00";"0.00";"0"
"9cc87059-76e0-11f1-0a80-04ba00024ce9";"product";"Зарядная станция 21В 2А";"FB-C21V-1";"00280";"";;;;"0.00";"0.00";"0"
"9cd0a393-76e0-11f1-0a80-04ba00024cef";"product";"Кора сосновая 2л";"115-013";"00152";"";;;;"60.00";"50.00";"0"
"9cd4bc35-76e0-11f1-0a80-04ba00024cf3";"product";"INBLOOM Набор для полива (пистолет 5 реж- 1шт., 1/2"" коннектор- 2шт., 1/2""-3/4"" штуцер-1шт.) ПП";"160-001";"00158";"";;;;"174.80";"145.67";"0"
"9cd86881-76e0-11f1-0a80-04ba00024cf7";"product";"INBLOOM Разбрызгиватель 5-и лучевой на пике, 31см, круговой, пластик";"160-002";"00176";"";;;;"96.13";"80.11";"0"
"9cdbeccb-76e0-11f1-0a80-04ba00024cfb";"product";"INBLOOM Пистолет для полива, 2 режима, ПП, ABS";"160-126";"00258";"";;;;"171.24";"142.70";"0"
"9cdf9b81-76e0-11f1-0a80-04ba00024cff";"product";"INBLOOM Пистолет-разбрызгиватель, 5 режимов, ПП";"160-127";"00262";"";;;;"46.25";"38.54";"0"
"9ce45cf9-76e0-11f1-0a80-04ba00024d03";"product";"INBLOOM Набор для полива d3/4"" (коннектор-1шт., коннектор с аквастопом-1шт., двойник-1шт.), ПП";"167-039";"00225";"";;;;"108.16";"90.13";"0"
"9ce87647-76e0-11f1-0a80-04ba00024d07";"product";"INBLOOM Набор садового инвентаря 21см (совок, рыхлитель, корнеудал) металл с пласт. ручкой";"181-014";"00292";"";;;;"126.17";"105.14";"0"
"9ceca673-76e0-11f1-0a80-04ba00024d0b";"product";"INBLOOM Грабли веерные, 22 зуба, 35х38см, окрашенная сталь";"187-006";"00171";"";;;;"146.87";"122.39";"0"
"9cf16aa0-76e0-11f1-0a80-04ba00024d0f";"product";"ЕРМАК Замок навесной ""Бронь"" 60мм";"468-004";"00183";"";;;;"178.97";"149.14";"0"
"9cf544ef-76e0-11f1-0a80-04ba00024d13";"product";"ЕРМАК Замок навесной 63мм ""301""";"468-014";"00173";"";;;;"232.57";"193.81";"0"
"9cf99f35-76e0-11f1-0a80-04ba00024d17";"product";"ЕРМАК Биты для шуруповерта PZ2 длина 50 мм, сталь S2, 2 штуки, ПРОФИ СЕРИЯ";"601-052";"00208";"";;;;"52.36";"43.63";"0"
"9cfd9cd0-76e0-11f1-0a80-04ba00024d1b";"product";"ЕРМАК Набор 9 пр: сверла по дереву (5-6-8 мм), по металлу (5-6-8 мм), по бетону (5-6-8 мм)";"603-001";"00181";"";;;;"244.49";"203.74";"0"
"9d0ca3db-76e0-11f1-0a80-04ba00024d27";"product";"ЕРМАК Круг шлифовальный по металлу, 150х6х22,23мм";"608-017";"00198";"";;;;"50.35";"41.96";"0"
"9d10dc20-76e0-11f1-0a80-04ba00024d2b";"product";"ЕРМАК Круг шлифовальный по металлу, 180х6х22,23мм";"608-018";"00210";"";;;;"68.70";"57.25";"0"
"9d153f4b-76e0-11f1-0a80-04ba00024d2f";"product";"ЕРМАК Круг шлифовальный по металлу, 230х6х22,23мм";"608-019";"00265";"";;;;"90.65";"75.54";"0"
"9d1e0836-76e0-11f1-0a80-04ba00024d37";"product";"ЕРМАК Шнур-отвес разметочный, корпус пластмассовый, 30м";"624-108";"00160";"";;;;"19.67";"16.39";"0"
"9d23ae8f-76e0-11f1-0a80-04ba00024d3c";"product";"ЕРМАК Лезвие для ножей запасное 25мм сегментированное, сталь,толщина 0,6мм,10шт/уп";"624-118";"00161";"";;;;"101.90";"84.92";"0"
"9d280288-76e0-11f1-0a80-04ba00024d40";"product";"HEADMAN/ ЕРМАК Лезвия запасные для ножа пистолетного 10шт, 18мм";"641-093";"00172";"";;;;"34.90";"29.08";"0"
"9d3135a5-76e0-11f1-0a80-04ba00024d48";"product";"ЕРМАК Набор отверток 4 пр. 9986 (PH1,PH2x100; SL5,SL6x100)";"651-059";"00155";"";;;;"287.17";"239.31";"0"
"9d3de856-76e0-11f1-0a80-04ba00024d54";"product";"ЕРМАК Отвертка с набором бит и головок, 38 предметов";"651-220";"00263";"";;;;"405.50";"337.92";"0"
"9d42581f-76e0-11f1-0a80-04ba00024d58";"product";"ЕРМАК Набор ударных отверток 2 шт, PH2x100, SL6x100";"651-221";"00250";"";;;;"205.32";"171.10";"0"
"9d46b472-76e0-11f1-0a80-04ba00024d5c";"product";"ЕРМАК Резак для металлопластиковых труб PC-201 42мм";"653-248";"00194";"";;;;"347.74";"289.78";"0"
"9d4afcc9-76e0-11f1-0a80-04ba00024d60";"product";"ЕРМАК Бур SDS-plus D5 х 50/110мм";"654-006";"00240";"";;;;"22.00";"18.33";"0"
"9d4f0d99-76e0-11f1-0a80-04ba00024d64";"product";"ЕРМАК Бур SDS-plus D12 x 100/160 мм";"654-012";"00245";"";;;;"43.09";"35.91";"0"
"9d539753-76e0-11f1-0a80-04ba00024d68";"product";"ЕРМАК Бур SDS-plus D16 x 250/310 мм";"654-022";"00234";"";;;;"124.19";"103.49";"0"
"9d5c9a58-76e0-11f1-0a80-04ba00024d70";"product";"ЕРМАК Набор буров по бетону системы SDS-plus, серия MASTER 5 шт(5/110, 6/110, 6/160, 8/160, 10/160)";"654-163";"00212";"";;;;"302.45";"252.04";"0"
"9d68e251-76e0-11f1-0a80-04ba00024d7c";"product";"ЕРМАК Клещи переставные 260мм с пружинной кнопкой";"655-094";"00224";"";;;;"1040.72";"867.27";"0"
"9d6cab39-76e0-11f1-0a80-04ba00024d80";"product";"ЕРМАК Щетка металл. со шпилькой для дрели 75мм, плоская";"656-007";"00231";"";;;;"74.17";"61.81";"0"
"9d70f7b4-76e0-11f1-0a80-04ba00024d84";"product";"ЕРМАК Щетка металл. со шпилькой для дрели 75мм (чашка)";"656-027";"00298";"";;;;"122.10";"101.75";"0"
"9d752173-76e0-11f1-0a80-04ba00024d88";"product";"ЕРМАК Щетка металл. для УШМ 125мм/22мм, плоская";"656-055";"00303";"";;;;"161.29";"134.41";"0"
"9d78f994-76e0-11f1-0a80-04ba00024d8c";"product";"ЕРМАК Набор ключей - шестигранников 1,5-10мм, 9шт. (011)";"657-011";"00286";"";;;;"165.67";"138.06";"0"
"9d7d2e1c-76e0-11f1-0a80-04ba00024d90";"product";"ЕРМАК Набор ключей TORX-профиль 9пр. (50х3мм-125х9мм)";"657-023";"00252";"";;;;"210.89";"175.74";"0"
"9d81759a-76e0-11f1-0a80-04ba00024d94";"product";"ЕРМАК Рулетка ""НЕО-ТАЧ"", 3м х 16мм, одинарный зацеп + магнит, автостоп, корпус ABS";"658-096";"00174";"";;;;"105.12";"87.60";"0"
"9d929122-76e0-11f1-0a80-04ba00024da4";"product";"ЕРМАК Пассатижи / Клещи переставные 240 мм";"661-001";"00282";"";;;;"346.94";"289.12";"0"
"9d96c328-76e0-11f1-0a80-04ba00024da8";"product";"ЕРМАК Плоскогубцы ""Никель МИНИ"" никелированные";"661-024";"00153";"";;;;"203.21";"169.34";"0"
"9d9b3f62-76e0-11f1-0a80-04ba00024dac";"product";"ЕРМАК Кусачки торцевые строительные 160мм";"661-192";"00162";"";;;;"209.44";"174.53";"0"
"9d9f52be-76e0-11f1-0a80-04ba00024db0";"product";"ЕРМАК Топор-колун 2000г, 880мм с клиновидным полотном, стекловол.ручка";"662-037";"00267";"";;;;"1551.26";"1292.72";"0"
"9dab1f51-76e0-11f1-0a80-04ba00024dbc";"product";"РОКОТ Киянка резиновая с металлической ручкой, 225г";"662-309";"00189";"";;;;"89.40";"74.50";"0"
"9daf4096-76e0-11f1-0a80-04ba00024dc0";"product";"РОКОТ Киянка резиновая с металлической ручкой, 680 гр";"662-311";"00279";"";;;;"202.60";"168.83";"0"
"9db30abe-76e0-11f1-0a80-04ba00024dc4";"product";"ЕРМАК Молоток кованый с деревянной ручкой 200гр.";"662-404";"00244";"";;;;"154.37";"128.64";"0"
"9db70178-76e0-11f1-0a80-04ba00024dc8";"product";"ЕРМАК Молоток кованый с фиберглассовой двухкомпонентной ручкой 800г";"662-423";"00296";"";;;;"501.07";"417.56";"0"
"9dbadaa1-76e0-11f1-0a80-04ba00024dcc";"product";"ЕРМАК Топор кованый с фиберглассовой двухкомпонентной ручкой 1000г";"662-430";"00248";"";;;;"830.99";"692.49";"0"
"9dcb3d91-76e0-11f1-0a80-04ba00024ddc";"product";"РОКОТ Диск отрезной по металлу 125х1,6х22мм";"664-218";"00266";"";;;;"29.35";"24.46";"0"
"9dcefcc3-76e0-11f1-0a80-04ba00024de0";"product";"РОКОТ Диск отрезной по металлу 150х1,2х22мм";"664-219";"00202";"";;;;"34.45";"28.71";"0"
"9dd30556-76e0-11f1-0a80-04ba00024de4";"product";"РОКОТ Диск алмазный отрезной ""ТУРБО"" 230х22,2мм (для мокрой и сухой резки)";"664-496";"00221";"";;;;"468.90";"390.75";"0"
"9dd70887-76e0-11f1-0a80-04ba00024de8";"product";"РОКОТ Диск алмазный отрезной сегментный 125х22,2мм (мокрая и сухая резка) бетон,кирпич,известняк.";"664-886";"00239";"";;;;"151.98";"126.65";"0"
"9ddb6f5a-76e0-11f1-0a80-04ba00024dec";"product";"ЕРМАК Диск пильный по дереву 200х32-30-20-16 z48,чистый рез";"666-047";"00270";"";;;;"259.20";"216.00";"0"
"9ddf7921-76e0-11f1-0a80-04ba00024df0";"product";"РОКОТ Гвоздодер с сине-красной ручкой, 43см";"668-705";"00205";"";;;;"186.00";"155.00";"0"
"9de41b18-76e0-11f1-0a80-04ba00024df4";"product";"ЕРМАК Набор влагозащищенных навесных замков ""Система всё под один ключ"" (3 замка + 3 ключа)";"673-066";"00156";"";;;;"719.22";"599.35";"0"
"9de889e1-76e0-11f1-0a80-04ba00024df8";"product";"ЕРМАК/HEADMAN Кисть малярная плоская ""Бейсик"" нат. щетина 3/4"" (20мм)";"682-001";"00215";"";;;;"14.09";"11.74";"0"
"9deccb1f-76e0-11f1-0a80-04ba00024dfc";"product";"ЕРМАК/HEADMAN Кисть малярная плоская ""Бейсик"" нат. щетина 4"" (100мм)";"682-007";"00213";"";;;;"58.43";"48.69";"0"
"9df0cc23-76e0-11f1-0a80-04ba00024e00";"product";"ЕРМАК Кисть мини-макловица пластиковая ручка нат. щетина 30*120";"682-050";"00179";"";;;;"117.53";"97.94";"0"
"9df4d2b5-76e0-11f1-0a80-04ba00024e04";"product";"HEADMAN/ЕРМАК Миксер универсальный, шестигранный хвостовик 60x400мм";"684-044";"00166";"";;;;"133.24";"111.03";"0"
"9df91141-76e0-11f1-0a80-04ba00024e08";"product";"ЕРМАК Нож универсальный 25мм, метал.направ., Twist lock, пластик+TPR, блистер";"685-021";"00242";"";;;;"205.13";"170.94";"0"
"9e066bf2-76e0-11f1-0a80-04ba00024e14";"product";"ЕРМАК Плоскогубцы комбинированные, двухкомпонентные рукоятки, 45 сталь, 160мм";"779-024";"00293";"";;;;"222.00";"185.00";"0"
"9e0d478e-76e0-11f1-0a80-04ba00024e1a";"product";"Герметик силиконовый универсальный Soudal бесцветный 280 мл";"105905";"00254";"";;;;"322.55";"268.79";"0"
"9e10fa76-76e0-11f1-0a80-04ba00024e1e";"product";"Очиститель для незатвердевшей пены Soudal Profil 400 мл";"152227";"00290";"";;;;"197.56";"164.63";"0"
"9e14e2e1-76e0-11f1-0a80-04ba00024e22";"product";"Герметик силиконовый для ванной Bostik Perfect Seal прозрачный 280 мл.";"212793";"00180";"";;;;"318.12";"265.10";"0"
"9e18de52-76e0-11f1-0a80-04ba00024e26";"product";"Клей универсальный полимерный Polylex 250 мл.";"10324";"00184";"";;;;"171.65";"143.04";"0"
"9e1cabbd-76e0-11f1-0a80-04ba00024e2a";"product";"Клей-пена монтажный полиуретановый пистолетный всесезонный Bostik PRO 800 мл";"20009020";"00284";"";;;;"483.00";"402.50";"0"
"9e2061c2-76e0-11f1-0a80-04ba00024e2e";"product";"Пистолет ручной под герметики Soudal DIY желтый 300/310 мл";"111072";"00273";"";;;;"780.84";"650.70";"0"
"9e242a2a-76e0-11f1-0a80-04ba00024e32";"product";"Пистолет ручной для пены профессиональный Soudal Profi Gun металлический";"103266";"00233";"";;;;"1688.16";"1406.80";"0"
